Date,aus,can,rsa,ger,fra,ned
2008-05-20,19.434097,29.782646,49.755993,27.183077,28.233912,23.684395
2008-05-21,19.251188,29.441092,49.034092,26.886478,28.00865,23.423435
2008-05-22,19.36224,29.499407,49.578293,27.134977,28.256451,23.557867
2008-05-23,19.029083,29.266144,49.174774,26.726152,27.911028,23.360165
2008-05-27,19.120539,28.691319,48.152992,26.766232,27.888502,23.202007
2008-05-28,19.029083,29.132847,48.167801,26.870445,28.046196,23.407616
2008-05-29,18.950695,28.891254,48.156696,26.726152,27.933559,23.257362
2008-05-30,19.120539,29.166176,48.049332,26.87846,28.158827,23.542053
2008-06-02,18.839642,29.082867,46.649948,26.469633,27.640707,23.209913
2008-06-03,18.408499,28.657997,46.035404,26.285259,27.565615,23.107117
2008-06-04,18.336643,28.44972,45.720722,26.124933,27.332842,23.051756
2008-06-05,18.682863,29.066198,46.7425,26.581863,27.820921,23.589497
2008-06-06,18.303978,28.874592,45.609657,25.956594,27.092552,22.735439
2008-06-09,18.09494,28.841269,44.995113,26.044773,27.077532,22.482382
2008-06-10,17.846704,28.291431,43.943718,25.563795,26.596951,22.284681
2008-06-11,17.68993,28.508039,42.944168,25.114885,26.153921,21.928822
2008-06-12,17.409033,28.091497,42.725742,25.050758,25.936159,22.023718
2008-06-13,17.696461,28.299768,43.680874,25.339344,26.056301,22.01581
2008-06-16,17.546211,28.766289,43.9067,25.523718,26.213993,22.181877
2008-06-17,17.853239,29.166176,43.347694,25.68404,26.266554,22.102795
2008-06-18,17.80098,29.14118,42.796085,25.499668,25.981211,21.778574
2008-06-19,17.892431,28.649662,43.184803,25.772221,25.95118,21.375261
2008-06-20,17.395971,28.166473,41.896473,24.986631,25.388,20.900787
2008-06-23,17.461294,28.374739,41.663242,24.978613,25.33544,20.663544
2008-06-24,17.474358,27.991524,41.359669,24.85837,25.282871,20.710997
2008-06-25,17.605007,27.972301,42.613503,25.165548,25.658672,20.968317
2008-06-26,17.337173,27.671341,41.998169,24.641092,25.081718,20.455305
2008-06-27,17.572346,27.788385,42.997131,24.657745,25.003754,20.300585
2008-06-30,17.291449,27.7215,43.244026,24.5079,25.120705,20.268015
